M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
r,50,0.57,-7.68,-0.3,0.99,0.271,0.012,72.3,15.8,-1.5
r,50,-2.85,-4.14,1.9,0.949,0.275,-0.024,72.7,15.8,-1.4
r,50,-3.46,-3.28,4.89,1.036,0.35,-0.18,72.3,16,-2.4
r,50,46.53,0.87,26,1.278,0.398,-0.534,72.3,18.3,-1.1
r,50,110.8,-76.59,90.46,1.535,0.406,-0.564,76.1,23.9,3.4
r,50,169.51,-129.75,160.77,1.427,0.152,-0.579,82.6,32.4,11.5
r,50,173.36,-206.16,204.72,1.391,-0.015,-0.408,90,34.8,16
r,50,172.87,-290.76,202.27,1.054,-0.159,-0.304,99.7,35.7,19.8
r,50,201.56,-303.21,155.52,0.636,-0.194,-0.181,107.7,36.4,21.1
r,57,188.07,-248.77,58.66,0.145,-0.366,0.2,106.5,31.7,24.9
r,46,55.07,-107.96,-29.11,0.149,-0.062,-0.116,111.4,34.2,23.5
r,49,-69.13,-55.35,-77.69,0.264,-0.121,0.369,102.2,24,24.5
r,51,-246.08,-43.81,-112.85,0.28,-0.068,0.095,104.4,11.4,18.8
r,50,-331.83,70.57,-121.7,0.335,-0.102,-0.304,92.7,-6.3,4.6
r,62,-298.5,59.16,-84.1,0.656,-0.288,-1.105,89,-24.8,-0.6
r,38,-175.03,47.01,-69.45,0.641,0.602,-2.054,87.2,-31.5,-3.2
r,48,114.64,20.58,8.43,1.154,0.065,-2.126,86.2,-26,-2.8
r,52,249.1,-71.03,53.47,0.674,-0.253,-1.525,89.9,-13,0
r,48,299.15,-108.94,79.84,0.598,-0.447,-0.925,85.4,-2.2,-4.4
r,50,248.25,-101,92.84,0.468,-0.679,-0.486,81.3,1.9,-4.4
r,50,160.24,-87.33,105.35,0.431,-0.642,-0.344,77.4,1.1,-2.9
r,51,60.2,-17.51,113.35,0.217,-0.487,-0.188,69.9,-5.4,-0.4
r,50,-54.79,23.63,113.16,0.115,-0.184,-0.095,68.8,-8.1,5.2
r,51,-129.62,13.99,108.4,0.049,-0.011,-0.022,68,-14.8,10.8
r,49,-183.15,11.49,77.15,-0.24,0.102,-0.204,50.4,-17.5,6.7
r,51,-204.94,37.3,16.54,-0.342,0.323,-0.511,36.8,-19.6,-0.7
r,49,-171.06,50.92,-55.66,-0.374,0.411,-1.029,26.3,-20.7,-12.2
r,50,-63.52,96.33,-133.54,-0.174,0.334,-1.535,21.5,-23.9,-18.9
r,50,56.72,89.55,-170.1,0.375,0.103,-1.583,17.1,-21,-27.4
r,51,159.75,99.13,-161.68,0.586,-0.293,-1.138,12,-12.9,-35.6
r,49,213.76,93.15,-129.51,0.783,-0.57,-0.566,13,-6.6,-40.2
r,50,160.24,29.37,-61.89,0.713,-0.722,-0.371,16,-5.1,-39.8
r,50,94.32,69.41,-40.71,0.59,-0.645,-0.165,16.9,-7.3,-37.2
r,50,-17.8,58.91,-3.54,0.606,-0.599,-0.131,18.5,-13.6,-33.1
r,50,-114,74.11,17.64,0.571,-0.576,-0.257,18.9,-22.8,-30
r,50,-210.37,63.92,38.82,0.684,-0.366,-0.374,21.2,-32.1,-27.7
r,50,-281.35,49.51,98.76,0.844,-0.099,-0.59,24.2,-40,-24.6
r,50,-295.51,47.68,117.37,0.652,0.249,-0.858,23.9,-44.6,-23.5
r,50,-195.97,75.21,88.57,0.627,0.209,-0.931,22.1,-44.7,-24.4
r,50,-104.9,16.98,32.47,0.371,0.272,-1.111,20.8,-40.5,-29.5
r,50,-39.9,48.54,-10.62,0.611,0.21,-0.964,20.4,-34.5,-34
r,51,-15.79,3.98,-7.2,0.722,0.268,-0.847,23,-28,-36.3
r,49,-1.87,0.26,-0.12,0.72,0.311,-0.824,25.4,-21.5,-37.8
r,50,23.09,6.54,-11.29,0.646,0.24,-0.707,27.5,-15.2,-39.5
r,50,57.33,12.22,5.37,0.88,0.321,-0.668,30.3,-8.1,-38.7
r,50,64.23,33.09,15.81,0.764,0.192,-0.543,32.3,-2.4,-37.4
r,50,57.27,98.46,19.35,0.652,0.087,-0.544,30.8,1.3,-36.9
r,50,26.08,215.71,13.55,0.688,-0.14,-0.209,27.5,0.5,-33.3
r,52,-34.71,202.4,5.92,0.955,-0.196,0.067,26.1,-2.8,-27.4
r,48,-103.07,162.49,-20.99,0.813,-0.167,0.088,27.1,-8.3,-23.3
r,50,-108.93,160.53,-47.36,0.935,-0.108,0.071,28.5,-12.7,-21.1
r,50,-98.19,84.61,-56.51,1.155,0.02,-0.008,34,-14.8,-20.4
r,53,-23.48,-7.62,-31.98,1.384,0.144,-0.565,34.4,-16.1,-22.1
r,48,56.6,15.82,8.24,1.083,0.017,0.026,41.8,-11.2,-18.3
r,50,25.71,1.72,2.57,0.956,0.032,0.218,47,-8.2,-13.5
r,50,-4.68,-4.69,-0.73,0.968,0.063,0.143,52.3,-6.6,-10.2
Next Letter: s,,,,,,,,,,
s,51,1.85,0.01,-0.73,0.995,0.088,0.117,80.2,5.2,7.1
s,52,0.32,-1.45,-0.67,0.976,0.075,0.12,80.5,5.1,7
s,54,-0.1,-2.67,0.06,1.006,0.082,0.119,80.8,5,7
s,47,-2.91,-6.21,1.65,0.991,0.077,0.115,81.2,4.8,7
s,52,-6.82,-13.48,1.77,1.018,0.109,0.063,82.1,4.7,6.6
s,58,-5.23,-27.51,11.54,1.185,0.119,-0.22,82.8,4.6,4.6
s,42,78.82,-75.06,68.3,1.651,0.181,-0.7,86,7.9,7.4
s,54,158.77,-171.37,144.41,1.683,0.064,-0.794,95.3,16.5,15.2
s,46,198.38,-241.99,194.83,1.409,-0.313,-0.315,106.4,25.6,24.2
s,50,157.06,-349.54,183.72,1.108,-0.565,0.103,114.7,24.4,29.1
s,51,80.16,-359.61,138.25,0.79,-0.729,0.061,120.1,17.8,31.2
s,52,-9.01,-295.28,88.87,0.508,-0.711,-0.172,120.4,6.8,28.8
s,48,-143.72,-230.52,77.21,0.4,-0.605,-0.188,116.6,-8.2,25.4
s,52,-139.93,-282.09,58.96,0.053,0.058,-0.609,112.3,-12.3,11.8
s,47,24.86,-223.5,-39.12,-0.934,0.663,-0.784,122.8,-11.1,10
s,54,174.76,-14.21,-192.01,-0.395,0.517,-0.411,100.4,4.9,-5.2
s,48,168.41,-21.78,-208.43,0.004,0.143,-0.105,101.4,13,-15.2
s,53,75.27,6.42,-207.03,0.137,-0.263,0.002,101.1,17,-26.1
s,46,-18.29,32.67,-200.07,0.466,-0.676,-0.061,89.8,5.4,-30.7
s,50,-67.36,73.07,-176.45,0.88,-1.013,-0.034,79.4,-5.6,-33.8
s,50,-125.04,68.19,-98.63,0.929,-1.173,-0.353,76,-11.9,-38.7
s,58,-110.94,105.97,-14.28,1.053,-1.267,-0.564,69.8,-18.3,-39.6
s,42,-91.05,78.08,55.79,0.842,-0.961,-0.813,66.6,-22.1,-37.2
s,51,-115.95,69.41,124.94,0.819,-0.651,-0.726,63,-28,-30.8
s,49,-157.94,34.92,167.18,0.453,-0.215,-0.78,56.5,-32.4,-27.8
s,50,-195.48,32.18,176.76,0.37,0.209,-0.798,50.3,-33.9,-25.4
s,50,-171.06,46.34,128.06,0.055,0.243,-0.74,41.4,-33.3,-26.9
s,50,-173.63,44.63,45.23,0.065,0.312,-0.845,33.9,-32.7,-31.3
s,51,-135.36,102.25,-60.6,0.071,0.183,-0.833,25.1,-31.8,-40.8
s,50,-106.61,87.11,-187.86,0.327,0.397,-1.039,20.1,-28.5,-52.2
s,53,-25.43,113.72,-253.66,0.585,0.323,-1.033,16.2,-23.1,-64.4
s,49,70.58,27.6,-258.17,0.896,0.218,-1.091,14.8,-19.7,-77
s,48,157.55,19.54,-206.54,1.047,0.275,-0.91,13.9,-12.1,-86.9
s,50,189.11,20.15,-136.04,0.846,0.028,-0.756,18.2,-2,-85.9
s,50,167.13,55.62,-66.04,0.802,-0.088,-0.517,21.6,4.6,-80.7
s,50,112.99,33.4,-9.88,0.739,-0.118,-0.513,25.1,7.6,-74.2
s,51,42.56,46.83,30.52,0.611,-0.067,-0.569,26.4,7.6,-68.2
s,50,-49.85,132.7,65.74,0.625,0.001,-0.547,24.1,4.3,-61.3
s,50,-120.28,181.65,82.77,0.781,-0.021,-0.434,21.9,-1.6,-53
s,55,-153.67,167.13,73.06,0.883,0.04,-0.377,20.8,-8.2,-45.1
s,45,-144.15,119.58,47.49,0.82,0.048,-0.318,23.4,-12,-39.7
s,50,-155.01,143.44,27.23,0.915,0.106,-0.193,25.3,-15.8,-34.3
s,50,-156.35,137.1,12.64,1.018,0.16,-0.157,27.3,-18.8,-30
s,50,-144.57,126.72,1.77,1.053,0.205,-0.104,29.5,-20.5,-26.2
s,50,-127.54,107.19,-9.46,1.045,0.227,0.025,32.1,-21,-22.5
s,50,-104.84,83.51,-18.67,1.036,0.275,0.001,35,-20.1,-19.9
s,50,-73.28,48.17,-22.09,1.103,0.222,0.048,39.5,-18.5,-17.5
s,50,-54.18,25.1,-16.72,1.023,0.149,0.115,44.4,-16.8,-14.6
s,50,6.43,-29.71,-4.63,0.9,0.101,0.106,51.2,-13,-11.6
s,50,-0.29,-15.06,0.19,0.981,0.041,0.331,54.8,-10.7,-7.1
s,50,-14.2,-15.37,-1.4,0.925,0.106,0.259,58.2,-8.8,-3.7
s,50,2.58,1.78,-0.18,0.985,0.132,0.239,60.6,-6.2,-1.2
s,50,6.98,-0.84,2.2,0.945,0.099,0.238,62.7,-4.1,1.2
s,50,7.04,5.57,1.83,0.958,0.134,0.222,64.3,-2.1,3
s,50,9.11,0.68,-1.03,0.968,0.118,0.226,65.9,-0.4,4.5
s,50,8.26,6.48,-2.38,0.987,0.119,0.273,66.7,1.1,6
s,50,10.64,11.97,-2.19,0.927,0.121,0.23,67.4,2.4,7.1
s,50,11.49,10.69,-2.19,0.974,0.105,0.213,68.3,3.4,7.8
s,50,6.18,2.58,1.22,0.995,0.09,0.223,69.4,4,8.6
s,50,-2.73,-4.99,0.61,0.975,0.124,0.233,70.4,4.3,9.3
Next Letter: t,,,,,,,,,,
t,54,-0.1,-0.72,-1.16,0.968,0.106,0.231,74.9,6.6,13.1
t,48,-1.14,-0.9,-1.09,0.958,0.115,0.229,75,6.6,13.1
t,50,-0.59,-0.84,-0.79,0.97,0.12,0.241,74.9,6.6,13.2
t,50,-2.3,-2.86,-1.09,0.97,0.111,0.226,75.1,6.5,13.1
t,50,-4.5,-7.86,0.25,0.999,0.126,0.206,75.7,6.3,12.9
t,50,-11.82,-20.5,-1.95,1.01,0.19,0.15,76.7,6.5,12.1
t,50,-6.57,-40.15,3.12,1.194,0.138,-0.117,79.1,6.2,9.6
t,50,67.58,-84.4,72.51,1.611,0.162,-0.514,83.3,9.6,13.2
t,50,149.55,-191.33,137.88,1.523,0.126,-0.418,92.9,17.1,20.1
t,50,224.63,-281.6,192.26,1.327,-0.056,-0.253,102.7,23.7,23.7
t,50,258.14,-393.36,184.94,1.017,-0.209,-0.09,115.7,29.4,27.2
t,50,291.89,-395.31,117.25,0.544,-0.467,-0.083,122.5,31.3,27.1
t,50,292.8,-285.69,48.4,0.553,-0.723,0.032,121.8,31.2,25.4
t,50,209.31,-230.46,15.99,0.29,-0.954,0.071,115.9,24.5,22.9
t,60,110.49,-55.9,1.35,0.461,-1.004,0.011,105.1,16.7,19.6
t,41,-8.95,57.2,73.73,0.461,-1.107,0.202,90.6,4,20.7
t,50,-116.74,101.03,139.1,0.631,-1.057,0.221,77.3,-10.2,25
t,50,-221.23,70.51,170.66,0.155,-0.562,-0.014,65,-29.2,28.3
t,50,-238.14,6.6,163.21,0.21,-0.168,-0.56,57.9,-37.3,21.3
t,50,-141.46,-13.23,140.63,-0.316,0.123,-0.833,46.7,-36.6,13.9
t,50,-41.36,-15.25,66.41,-0.694,0.074,-0.897,34.7,-32.3,6.9
t,50,33.65,18.99,5.31,-0.658,0.135,-0.865,23.2,-24.9,-1.8
t,56,76.8,12.22,-36.98,-0.381,-0.082,-0.631,14.5,-18.5,-12
t,52,81.32,-7.43,-83.68,-0.383,-0.281,-0.388,6.8,-16.2,-19.8
t,43,42.87,6.54,-109.62,-0.115,-0.505,-0.236,3.8,-21.6,-24.5
t,51,-14.87,58.42,-121.64,0.097,-0.561,-0.133,2.2,-30,-28.1
t,50,-156.66,69.04,-115.6,0.101,-0.549,0.009,0.5,-44.1,-28.6
t,50,-261.94,118.54,-112.55,0.43,-0.533,-0.341,0.5,-55.3,-33.1
t,50,-276.23,144.12,-95.33,0.617,-0.237,-0.695,0.3,-60.9,-39.1
t,50,-245.28,108.35,-72.75,0.725,0.102,-1.183,-5.1,-73.1,-42.8
t,64,-125.65,95.78,-57,0.839,0.193,-1.523,-11.2,-81.2,-46.4
t,36,-20,60.86,-25.02,0.695,0.419,-1.446,-13.4,-81.9,-47.3
t,50,52.02,121.78,-18.61,0.75,0.239,-1.057,-19.5,-79.3,-48.3
t,50,65.63,116.77,7.88,0.739,0.134,-0.793,-15.2,-63.5,-47.7
t,50,45.92,160.11,18.07,0.64,0.053,-0.599,-12.7,-51.5,-46.2
t,50,25.9,226.51,22.34,0.861,-0.054,-0.406,-10.7,-43.2,-42.1
t,50,-14.02,203.63,21,1.004,-0.163,-0.178,-6.3,-38.7,-36.4
t,50,-60.89,146.68,11.78,1.004,-0.177,-0.083,0.3,-37,-31.1
t,50,-83.29,116.1,-4.76,0.933,-0.096,-0.096,7.6,-35.8,-27.5
t,50,-87.57,113.42,-17.45,0.911,-0.047,0.001,14.7,-34.6,-24.1
t,50,-80.67,92.48,-28.87,1.05,0.011,0.006,21.9,-32.8,-21.7
t,50,-42.83,27.36,-22.46,1.136,0.049,0.076,30.3,-29.3,-18.8
t,50,-27.08,-45.4,-8.72,0.968,0.06,0.09,40.2,-25.5,-15.6
t,50,-4.07,19.24,-3.41,0.969,0.075,0.111,45.7,-21.2,-12.4
t,50,2.22,-23.24,-1.03,1.031,0.062,0.216,51.5,-17.4,-8.8
t,50,-1.51,1.05,1.16,0.987,0.08,0.186,55.5,-14.2,-5.8
t,50,1.85,-9.75,2.14,0.967,0.044,0.159,59.6,-11.6,-3.5
t,50,0.75,-0.72,1.41,0.992,0.069,0.147,62.8,-9.2,-1.6
t,50,-1.45,-5.79,-0.3,0.939,0.051,0.194,65.3,-7.5,0.3
t,50,-4.25,0.93,-1.95,0.993,0.061,0.182,67.3,-6,1.8
t,50,-4.01,-4.26,-2.5,0.954,0.053,0.162,69.4,-4.8,2.8
t,50,-0.59,1.23,-0.91,0.971,0.059,0.185,70.7,-3.6,4
t,50,-0.29,1.29,-0.67,0.99,0.049,0.171,72.1,-2.6,4.8
t,50,0.32,-2.55,-0.36,0.972,0.064,0.154,73.4,-1.7,5.4
t,50,0.87,1.05,-1.22,0.982,0.039,0.177,74.3,-1.1,6.1
t,50,-0.41,-0.9,0.61,0.981,0.047,0.173,75.1,-0.5,6.7
t,50,0.32,-0.35,-1.22,0.984,0.059,0.16,75.9,0.1,7
t,50,2.15,0.5,-0.48,1.002,0.061,0.165,76.5,0.7,7.4
t,50,0.69,-0.17,1.22,0.985,0.049,0.161,77.1,1,7.7
t,50,0.51,0.07,0.25,0.984,0.056,0.153,77.6,1.4,7.9
Next Letter: u,,,,,,,,,,
u,52,-1.69,0.56,-1.34,0.975,0.057,0.176,79.4,2.8,9.4
u,49,-2.12,0.38,-0.36,0.989,0.048,0.17,79.5,2.7,9.4
u,52,-1.81,0.13,-1.46,0.961,0.063,0.179,79.4,2.7,9.5
u,48,-2.79,-0.78,-1.71,1.005,0.065,0.179,79.4,2.8,9.5
u,50,-1.14,-2.37,-1.03,0.982,0.067,0.152,79.6,2.9,9.4
u,50,-4.38,-8.04,0.37,1.039,0.04,0.125,80.5,2.6,9
u,51,2.58,-31.24,16.97,1.281,0.066,-0.316,81.1,2.7,6.3
u,50,122.15,-86.29,91.68,1.905,0.103,-0.5,85.4,8.9,10.9
u,56,179.58,-252.37,200.63,1.522,-0.035,-0.329,96.3,15.9,17
u,46,170.86,-313.77,237.49,1.238,-0.256,-0.314,104.9,18.5,21.6
u,53,143.94,-375.78,202.95,0.945,-0.423,-0.288,115.3,18.7,25.2
u,47,138.69,-384.2,112.13,0.398,-0.336,-0.065,120.8,15.5,24.8
u,50,97,-328.78,-22.88,-0.201,-0.238,0.12,111.1,10.5,23.3
u,51,19.12,-166.49,-133.05,-0.029,0.009,-0.048,119.6,11.4,16.5
u,49,-54.85,-72.25,-163.45,0.302,-0.037,0.176,113.5,6.5,11.7
u,50,-187.3,22.6,-166.62,0.417,-0.117,0.145,105.4,-4.6,5.7
u,50,-294.84,4.28,-141.9,0.587,-0.251,-0.263,98.2,-19.7,-4.6
u,51,-325.73,39.56,-40.89,1.276,-0.198,-0.977,96.1,-36.3,-6.6
u,51,-249.98,56.41,85.64,1.133,-0.226,-1.693,93.3,-49,-2.3
u,48,-107.1,13.5,169.01,0.88,-0.078,-2.047,92.6,-54.2,5.8
u,50,58.8,-38.2,184.51,0.575,0.007,-1.933,94.5,-51.2,15.1
u,50,138.32,-109.55,182.62,0.581,-0.022,-1.501,100,-44.3,24.2
u,50,190.27,-135.73,157.6,0.493,0.058,-1.104,94.4,-29.2,17.4
u,50,203.75,-155.93,123.78,0.181,-0.05,-0.76,88.9,-16.7,8.6
u,50,178.61,-113.76,79.96,0.006,-0.149,-0.414,80.5,-9.6,0.2
u,53,113.85,-52.23,41.81,-0.078,-0.154,-0.076,83.2,-3.5,2.4
u,47,39.33,-21.9,14.96,-0.092,-0.187,0.055,84.3,-1.7,3.1
u,53,-40.02,20.95,-7.2,-0.094,-0.179,0.131,83.2,-3.8,2.7
u,47,-125.1,55.98,-30.64,-0.026,-0.253,0.003,80.5,-9.7,1.3
u,50,-190.9,84.79,-50.96,0.164,-0.166,-0.226,69.4,-20.9,-7.7
u,58,-220.32,115.61,-49.68,0.385,-0.106,-0.594,58.2,-29.9,-17.4
u,42,-169.17,128.98,-49.37,0.391,-0.181,-1.326,47.3,-32.6,-27.3
u,50,-130.84,138.5,-39.3,0.569,-0.032,-1.443,40.4,-39.2,-29.3
u,50,-46.92,171.4,-49.98,0.574,-0.059,-1.385,31.8,-41.5,-31.8
u,52,11.74,140.39,-48.58,0.717,0.036,-1.112,25.7,-34.5,-37.7
u,49,26.75,186.9,-26.91,0.708,-0.085,-0.98,19.5,-28.8,-41.3
u,51,20.95,210.34,-7.87,0.839,-0.13,-0.725,14.7,-24.6,-41.5
u,49,8.38,243.42,-1.64,0.918,-0.143,-0.389,12.2,-21.8,-38.8
u,50,-37.82,242.57,5.31,1.018,-0.228,-0.023,11.7,-22,-32.9
u,54,-89.64,204.05,-3.17,0.976,-0.234,0.241,11.2,-24.8,-26.1
u,46,-134.32,141.67,-30.39,0.943,-0.128,0.18,15.5,-27.5,-21.8
u,52,-113.87,71.97,-39.49,1.05,-0.02,0.071,22.9,-28.5,-19.7
u,48,-58.94,26.81,-22.88,1.18,0.139,-0.231,30,-25.7,-19.3
u,52,5.51,-30.51,8,0.937,-0.268,0.038,37.9,-24,-15.7
u,48,1.79,21.44,-0.48,0.833,0.087,0.343,41.4,-19.5,-10
u,50,-0.35,4.04,-3.78,1.073,0.035,0.313,46,-16.3,-6.2
u,50,10.15,-6.09,0.98,0.921,-0.021,0.257,50.6,-13.6,-2.9
u,50,9.91,6.48,1.16,0.967,-0.012,0.283,53.7,-11.2,0
u,50,4.05,-1.94,0.98,0.979,0,0.296,56.7,-9.4,2.6
u,52,3.5,0.32,0.13,0.928,-0.002,0.286,59.2,-7.8,4.8
u,49,-0.35,3.92,-0.85,0.954,-0.025,0.302,61,-6.9,6.6
u,51,-2.3,5.99,-2.01,0.948,-0.005,0.3,62.4,-6,8.2
u,49,-2.79,0.26,-0.48,1.001,0,0.299,64.1,-5.2,9.4
u,50,0.69,-2.19,-0.91,0.952,0,0.285,65.5,-4.4,10.5
u,50,0.63,-1.15,-1.64,0.974,-0.017,0.319,66.5,-3.9,11.6
u,50,-2.18,-2.8,-1.03,0.954,-0.017,0.286,67.7,-3.5,12.3
u,50,-2.48,-0.96,-2.44,0.96,-0.014,0.305,68.4,-3.2,13
u,56,-2.12,-0.72,-1.89,0.968,0.007,0.305,69.1,-2.8,13.6
u,44,-1.02,-0.05,-1.64,0.967,-0.013,0.288,69.7,-2.5,14
u,50,-1.87,-3.77,-0.48,0.953,-0.004,0.296,70.3,-2.2,14.4
Next Letter: v,,,,,,,,,,
v,51,-4.8,-8.04,1.47,0.976,-0.003,0.251,75.6,-0.7,15.1
v,50,-3.16,-4.02,-0.3,0.975,0.008,0.242,75.9,-0.7,14.9
v,50,-2.3,-2.61,-3.11,0.966,-0.009,0.203,76.3,-0.7,14.3
v,50,-6.33,-1.88,4.34,1.117,0.023,0.126,77.5,-0.7,13.3
v,56,10.52,-44.48,24.11,1.334,0.132,-0.325,79.3,0.7,10.4
v,45,100.91,-133.04,65.98,1.654,0.226,-0.311,85.2,5.2,13.4
v,53,157.06,-216.72,98.64,1.576,0.133,-0.378,96.7,13.6,18.6
v,50,177.69,-305.22,132.27,1.579,-0.101,-0.219,107.4,18.5,20.3
v,47,186.54,-390.49,142.95,1.307,-0.247,-0.189,118.4,21.6,21.7
v,50,226.89,-395.68,115.73,0.753,-0.261,-0.146,127.7,25.2,21.8
v,53,242.57,-352.1,43.77,0.097,-0.356,0.29,126.2,25,26.3
v,49,139.36,-148.55,-35.27,-0.097,-0.475,0.233,111.9,17.7,24.7
v,49,56.96,-99.17,-85.99,0.194,-0.296,0.276,103.1,11.2,23.1
v,54,-109.05,-40.76,-105.59,0.216,-0.314,0.385,93,-0.8,21.6
v,46,-244.61,-5.3,-109.8,0.301,-0.222,0.233,85.7,-14.8,18.8
v,50,-348.86,49.57,-98.38,0.484,-0.16,-0.078,81.2,-30.1,10.5
v,50,-365.34,10.88,-48.21,0.928,0.04,-0.713,76.4,-40.8,1.3
v,50,-268.29,11.67,33.63,0.76,0.295,-1.717,75.9,-54.2,3
v,50,-109.36,68.07,94,0.917,0.121,-2.037,72.5,-59.7,7.7
v,50,21.14,-22.27,117.98,0.592,0.078,-1.976,73.6,-58.6,13.6
v,51,110.98,-42.65,133.18,0.727,-0.029,-1.508,75.7,-53,20.3
v,49,144.06,-128.96,141.06,0.545,-0.153,-1.285,73.2,-40,13.2
v,52,165.73,-127.25,124.64,0.445,-0.199,-0.96,71.5,-28.2,7.3
v,54,161.88,-130.18,97.42,0.233,-0.082,-0.658,69.7,-17.6,0.3
v,44,138.75,-92.4,61.83,0.005,-0.1,-0.46,62.7,-11.6,-9.1
v,50,99.14,-51.75,36.32,-0.083,-0.131,-0.283,65.3,-6.6,-7.3
v,52,47.2,-17.44,18.01,-0.111,-0.153,-0.177,66.2,-4.2,-6.4
v,48,-7.43,-1.45,7.57,-0.126,-0.135,-0.156,66.3,-4.5,-6
v,51,-52.53,44.32,3.67,-0.143,-0.193,-0.231,50.6,-11.5,-11.5
v,51,-84.15,71.12,-6.83,0.072,-0.243,-0.421,41.2,-17.8,-18.9
v,50,-88.54,169.08,-15.68,-0.031,-0.327,-0.667,27.5,-22.8,-26.3
v,50,-69.56,283.83,-31.37,0.298,-0.401,-0.679,14.4,-26.6,-31.8
v,53,-111.68,234.33,-61.52,0.783,-0.473,-0.496,9,-31.7,-34
v,47,-104.29,225.17,-81.54,0.79,-0.213,-0.584,6.4,-33,-37.5
v,50,-82.01,274.49,-95.03,1.12,-0.134,-0.565,3.2,-32.4,-39.9
v,50,1.85,198.86,-94.11,1.236,-0.151,-0.592,3.8,-28.4,-41.7
v,52,41.34,208.87,-93.07,1.328,-0.179,-0.208,5.8,-23.5,-40.9
v,48,18.21,145.89,-70.25,1.333,-0.184,-0.091,11.1,-20.4,-38.2
v,50,-9.38,143.2,-45.22,1.213,-0.198,-0.011,15.5,-19.1,-34.5
v,50,-41.97,95.04,-26.97,1.235,-0.133,-0.066,21.6,-18.9,-30.9
v,50,-42.16,11.97,-17.27,1.079,0.006,0.021,31.2,-17.8,-26.9
v,50,-40.26,-21.66,-19.1,0.908,0.058,0.097,39.9,-16.3,-22.7
v,50,-30.8,10.63,-14.34,1.053,0.101,0.066,45.9,-14.4,-19.4
v,50,-13.16,-10.97,-2.56,1.011,0.073,0.079,52.1,-12.2,-15.9
v,50,6.55,-13.29,2.32,0.95,0.054,0.243,56.2,-9.6,-11.3
v,50,-2.18,-10.97,1.71,0.994,0.134,0.242,59.4,-7.1,-7.5
v,50,-4.38,-2.06,0.68,0.961,0.109,0.231,61.8,-5.3,-4.3
v,52,0.75,-5.05,0.61,0.966,0.089,0.204,64.3,-3.7,-1.9
v,49,2.58,-0.96,3.12,0.954,0.08,0.207,66.2,-2.3,0.4
v,52,0.93,-0.23,0.37,0.964,0.101,0.188,67.9,-1.1,2
v,49,2.4,0.74,0.13,0.99,0.099,0.19,69.4,0,3.3
v,52,1.54,0.32,-0.67,0.973,0.1,0.191,70.6,1,4.5
v,48,2.46,1.97,-1.28,0.989,0.088,0.183,71.7,1.7,5.3
v,50,2.09,-2.67,-0.36,0.969,0.075,0.197,72.7,2.2,6.2
v,51,1.67,-1.33,-0.73,0.975,0.068,0.191,73.6,2.5,6.9
v,50,0.02,-1.21,0.13,0.985,0.074,0.21,74.2,2.8,7.7
v,50,-1.32,-0.35,0.06,0.974,0.077,0.196,74.7,3,8.2
v,50,-2.24,-3.71,-1.34,0.958,0.075,0.184,75.4,3.1,8.6
v,50,-1.87,0.01,-2.19,0.967,0.079,0.19,75.8,3.2,8.8
v,50,-1.93,0.62,-0.48,0.996,0.077,0.186,76.2,3.3,9.1
Next Letter: w,,,,,,,,,,
w,51,-0.41,3.55,0.61,0.99,0.077,0.18,78.5,4.5,10.4
w,51,-2.24,-2,0.43,0.972,0.076,0.194,78.5,4.4,10.5
w,50,-5.78,-3.41,-0.06,1.004,0.112,0.133,78.9,4.4,10.1
w,50,6.06,21.19,19.11,1.25,0.166,-0.341,77.2,5.1,7.1
w,50,93.22,-47.84,109.07,1.905,0.239,-0.54,79.6,9.8,12.6
w,50,162.37,-201.1,180.97,1.821,0.203,-0.236,89.6,17.9,21.6
w,51,180.87,-349.6,209.54,1.597,-0.003,-0.156,104,23,26.6
w,50,200.21,-421.37,186.41,1.073,-0.251,0.083,117.7,26.1,31.2
w,50,193.38,-351.98,130.25,0.576,-0.386,0.198,123,25.6,34.4
w,50,159.5,-275.81,26.37,-0.186,-0.553,0.394,113.9,20.7,35.5
w,51,33.71,-89.89,-49.37,0.159,-0.294,-0.081,104.9,10.3,26
w,49,-7.24,-110.64,-113.4,0.198,-0.297,0.319,97.4,2.7,23.6
w,52,-154.77,-95.08,-134.46,0.291,-0.064,0.089,102.4,-5.4,16.6
w,50,-266.83,-6.95,-108.88,0.431,-0.114,0.061,98.3,-18.1,10.7
w,50,-322.98,-21.53,-63.29,0.731,-0.083,-0.388,93.7,-30,2.2
w,48,-323.77,-17.14,-4.39,0.568,0.007,-1.131,84.3,-38.6,-7.8
w,53,-160.44,62.7,57.25,0.857,0.442,-2.194,81,-47.1,-4.8
w,49,57.51,52.81,91.62,0.621,0.229,-2.192,78.4,-44.3,-0.3
w,53,172.2,-5.36,132.63,0.894,0.079,-1.447,78.7,-35.2,6.8
w,47,216.75,-67,130.74,0.279,-0.066,-0.813,72.4,-21.9,0.4
w,50,192.46,-79.21,104.62,0.29,-0.156,-0.328,70.7,-13.4,-2
w,51,117.21,-99.6,69.52,0.092,-0.203,-0.051,75.8,-7.4,1.6
w,49,-38.98,-25.2,57.44,0.067,-0.215,-0.042,77,-9.3,4.4
w,50,-156.78,76.18,40.96,0.078,-0.267,-0.066,73.2,-17.2,6.4
